branch,screen,CPU,RAM,memory,graphic card,weight,discount,warranty,fgold,installment,evaluation,answer,star,size,color,cpu_branch,cpu_type,cpu_speed,cpu_core,cpu_thread,ram_type,ram_speed,ram_track,ram_onboard,screen_tech,screen_resolution,screen_plate,screen_scan,screen_coverage,screen_type,speaker,keyboard_type,keyboard_number,keyboard_lamp,battery_type,battery_supply,os,price
macbook,16.2,M3 Max,36,1,,2.16,0,12,0.0,10334000,0,0,5,"1,68 x 35,57 x 24,81 cm",Đen,Apple,14-core,2.3,,,Hãng không công bố,,0,1,Liquid Retina XDR,3456 x 2234 Pixels,IPS,120,,,,English International Backlit Keyboard,Không,Trắng,Lithium polymer,140 W,macos,89990000
macbook,14.2,M3 Max,36,1,,1.62,0,12,0.0,10716000,0,0,5,"1,55 x 31,26 x 22,12 cm",Đen,Apple,14-core,2.3,,,Hãng không công bố,,0,1,Liquid Retina XDR,3024 x 1964 Pixels,IPS,120,,,,English International Backlit Keyboard,Không,Trắng,Lithium polymer,96 W,macos,79990000
macbook,16.2,M3 Pro,36,512,,2.14,0,12,18.747,10047000,0,0,5,"1,68 x 35,57 x 24,81 cm",Đen,Apple,12-Core,2.3,,,Hãng không công bố,,0,1,Liquid Retina XDR,3456 x 2234 Pixels,IPS,120,,,,English International Backlit Keyboard,Không,Trắng,Lithium polymer,140 W,macos,74990000
macbook,16.2,M3 Pro,18,512,,2.14,0,12,0.0,8708000,0,0,0,"1,68 x 35,57 x 24,81 cm",Đen,Apple,12-Core,2.3,,,Hãng không công bố,,0,1,Liquid Retina XDR,3456 x 2234 Pixels,IPS,120,,,,English International Backlit Keyboard,Không,Trắng,Lithium polymer,140 W,macos,64990000
msi,16.0,Core i7,32,2,NVIDIA GeForce RTX 4060 8GB GDDR6,2.35,5000000,24,15.997,5558000,0,0,5,359 x 256 x 18.4 mm,Xám,Intel,13700HX,2.1,16.0,24.0,DDR5,5600 MHz,2,0,IPS,2560 x 1600 Pixels,IPS,120,,,4,Backlit Chiclet Keyboard,Có,LED,,280 W,windows,63990000
macbook,14.2,M3 Pro,18,1,,1.61,0,12,0.0,8039000,0,0,5,"1,55 x 31,26 x 22,12 cm",Đen,Apple,12-Core,2.3,,,Hãng không công bố,,0,1,Liquid Retina XDR,3024 x 1964 Pixels,IPS,120,,,,English International Backlit Keyboard,Không,Trắng,Lithium polymer,96 W,macos,59990000
lenovo,14.0,Core i7,16,512,,1.12,0,36,14.997,8039000,0,0,0,315.6 x 222.5 x 15.36 mm,Đen,Intel,1365U,1.3,,,LPDDR5,,0,1,Anti - Glare,1920 x 1200 Pixels,IPS,0,100% sRGB,,2,English International Backlit Keyboard,Không,LED,,65 W,windows,59990000
microsoft,13.0,Core i7,16,512,Intel Iris Xe Graphics,0.879,1000000,1,0.0,0,0,0,0,287 mm,Bạc,Intel,1255U,3.5,10.0,12.0,DDR5,4800 MHz,0,1,IPS,2880 x 1920 Pixels,IPS,120,,LED,,Gắn rời,Không,Không,,,windows,50990000
macbook,14.2,M3 Pro,18,512,,1.61,0,12,0.0,6701000,0,0,5,"1,55 x 31,26 x 22,12 cm",Đen,Apple,11-core,2.3,,,Hãng không công bố,,0,1,Liquid Retina XDR,3024 x 1964 Pixels,IPS,120,,,,English International Backlit Keyboard,Không,Trắng,Lithium polymer,70 W,macos,49990000
lenovo,14.0,Core i7,16,512,,1.12,5000000,36,11.747,6300000,0,0,5,315 x 222 x 15.3 mm,Đen,Intel,1355U,1.7,,,DDR5,,0,1,IPS,1920 x 1200 Pixels,IPS,0,,,,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,,windows,41990000
macbook,14.2,M3,8,512,,1.55,0,12,0.0,5363000,0,1,5,"1,55 x 31,26 x 22,12 cm",Xám,Apple,8 - Core,2.3,,,Hãng không công bố,,0,1,Liquid Retina XDR,3024 x 1964 Pixels,IPS,120,,,,English International Backlit Keyboard,Không,Trắng,Lithium polymer,70 W,macos,39990000
asus,15.6,Core i9,16,512,NVIDIA GeForce RTX 4060 8GB GDDR6,2.2,2000000,24,10.247,3307000,0,0,5,35.4 x 25.1 x 2.24 cm,Xám,Intel,13900H,2.6,14.0,,DDR4,3200 MHz,2,0,Anti - Glare,1920 x 1080 Pixels,IPS,144,100% sRGB,Màn hình phẳng,2,Backlit Chiclet Keyboard,Có (NumberPad),LED,Lithium-ion 4 viên,240 W,windows,38990000
lenovo,16.0,Ryzen 7,16,512,NVIDIA GeForce RTX 4060 8GB GDDR6,2.4,1900000,36,0.0,3133000,0,0,5,359.7 x 260.3 x 19.9-25.2 mm,Xám,AMD,7840HS,3.8,8.0,16.0,DDR5,5600 MHz,2,0,Anti - Glare,2560 x 1600 Pixels,IPS,165,,,2,English International Backlit Keyboard,Có,Không,,230 W,windows,37090000
lenovo,16.0,Core i7,16,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.4,1900000,36,0.0,3053000,0,0,5,359.7 x 260.3 x 19.9-25.2 mm,Xám,Intel,13700H,2.4,14.0,20.0,DDR5,5200 MHz,2,0,Anti - Glare,2560 x 1600 Pixels,IPS,165,,,2,English International Backlit Keyboard,Có,Không,,170 W,windows,36090000
acer,17.3,Core i5,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,3.0,0,12,0.0,2853000,0,0,5,400.2 (W) x 293.25 (D) x 27.9/28.9 (H) mm,Đen,Intel,13500H,3.5,,16.0,DDR5,4800 MHz,2,1,Acer ComfyView LED-backlit Chính:,FHD (1920 x 1080) Màn hình chính:,IPS,165  Màn hình chính:,100% sRGB,,,Bàn phím cứng,Có (NumberPad),LED,Lithium-ion,,windows,35490000
lenovo,13.3,Core i7,16,512,,1.26,0,36,8.247,4426000,0,0,0,305 x 218 x 17.3 mm,Đen,Intel,1255U,1.7,,,DDR4,,0,1,IPS,1920 x 1200 Pixels,IPS,0,,,,English International Backlit Keyboard,Không,LED,,,không,32990000
dell,14.0,Core i7,16,512,,1.94,0,12,7.747,4159000,0,0,5,356.78 x 251.70 x 15.42~18.20 mm,Bạc,Intel,1360P,1.6,12.0,16.0,LPDDR5,4800 MHz,0,16,Wide-Viewing Angle (WVA),1920 x 1200 Pixels,WVA,60,100% sRGB,,,Backlit Chiclet Keyboard,Không,Trắng,,,windows,30990000
lenovo,14.0,Ryzen 7,16,2,,1.34,0,36,7.497,4025000,0,0,5,317.7 x 226.9 x 17.9 mm,Đen,AMD,Đang cập nhật,2.7,,,LPDDR5,,0,1,Led,1920 x 1200 Pixels,IPS,4.7,,,,English International Backlit Keyboard,Không,LED,,,không,29990000
lenovo,15.6,Core i5,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.4,1000000,24,7.497,2493000,0,3,5,359.6 x 264.8 x 22.1-25.2 mm,Xám,Intel,13400,2.1,8.0,12.0,DDR5,5200 MHz,2,0,IPS FHD,1920 x 1080 Pixels,IPS,144,45% NTSC,,,"6-row, multimedia Fn keys, numeric keypad",Có,Không,,70 W,windows,29990000
asus,15.6,Ryzen 5,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.2,0,24,7.122,2302000,0,0,5,35.97 x 23.25 x 1.79 ~ 1.79 cm,Xám,AMD,7535HS,4.5,,,DDR5,,2,0,FHD,FHD (1920 x 1080),IPS,144,100% sRGB,Màn hình phẳng,,Backlit Chiclet Keyboard,Có,LED,,240 W,không,28490000
lenovo,14.0,Core i7,8,512,,1.64,0,24,6.997,0,0,0,5,324 x 220 x 17.9 mm,Đen,Intel,1260P,2.1,,,DDR4,,1,1,IPS,"1920 x 1080 Pixelss , 60Hz",IPS,0,,,,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,,không,27990000
lenovo,14.0,Core i7,16,512,Intel Iris Xe Graphics,1.5,0,24,0.0,0,0,0,0,320 x 216 x 16.9 mm,Xám,Intel,1165G7,2.8,4.0,8.0,DDR4,3200 MHz,1,1,IPS,1920 x 1080 Pixels,IPS,,100% sRGB,LED,,"6-row, multimedia Fn keys",Không,LED,,,windows,27890000
lenovo,1.4,Ryzen 5,16,512,AMD Radeon Graphics,1.4,0,24,5.372,0,0,2,5,"312 x 216 x 14,7 mm",Xám,AMD,6600H,3.3,6.0,12.0,DDR5,6400 MHz,1,1,IPS,1080 x 2240 Pixels,IPS,60 Hz,100% sRGB,LED,2,Backlit Chiclet Keyboard,Không,Không,Lithium polymer,100 W,windows,26890000
dell,16.0,Core i5,16,512,,1.9,0,12,6.422,3450000,0,0,5,356 x 251.90 x 15.67~17.95 mm,Xám,Intel,1335U,0.9,10.0,12.0,LPDDR5,4800 MHz,0,16,Wide-Viewing Angle (WVA),1920 x 1200 Pixels,WVA,60,45% NTSC,,,Backlit Chiclet Keyboard,Có,Trắng,,,windows,25690000
hp,14.0,Core i7,16,512,Intel UHD Graphics,1.42,500000,12,6.522,0,0,0,5,32.19 x 21.39 x 1.99 cm,Bạc,Intel,1355U,1.7,,,,,2,0,Anti-Glare,1920 x 1080 Pixels,IPS,60,,,,Chiclet Keyboard,Không,Không,,,windows,25590000
asus,15.6,Core i9,16,512,,1.7,1500000,24,6.247,2021000,0,0,5,35.68 x 22.76 x 1.99 mm,Bạc,Intel,13900H,2.6,,,DDR4,,1,1,OLED,1920 x 1080 Pixels,OLED,60,,,,Backlit Chiclet Keyboard,Có,LED,,,windows,23490000
dell,15.6,Core i7,8,512,Intel Iris Xe Graphics,1.66,0,12,5.247,2221000,0,7,5,358x235x19 mm,Đen,Intel,1355U,1.7,10.0,12.0,,,2,0,WVA Anti-glare LED Backlit Narrow Border,1920 x 1080 Pixels,WVA,120,,,,English International Non-backlit Keyboard,Có (NumberPad),LED,,,windows,21990000
lenovo,15.6,Ryzen 5,8,512,AMD Radeon Graphics,1.78,0,24,4.247,0,0,5,5,365 x 240 x 18.9 mm,Đen,AMD,5625U,2.3,6.0,12.0,DDR4,3200 MHz,1,1,FHD,1920 x 1080 Pixels,IPS,60 Hz,45% NTSC,Màn hình phẳng,,English International Backlit Keyboard,Có (NumberPad),LED,,65 W,windows,21290000
asus,15.6,Core i5,8,512,Intel UHD Graphics,1.8,0,24,4.747,0,0,0,0,359.0 x 235.0 x 17.9 mm,Đen,Intel,1135G7,2.4,4.0,8.0,DDR4,3200 MHz,1,1,Anti-glare LED-backlit,1920 x 1080 Pixels,IPS,60 Hz,100% DCI-P3,LED,,Backlit Chiclet Keyboard,Không,Không,Lithium-ion,65 W,windows,19990000
lenovo,14.0,Ryzen 7,8,512,AMD Radeon Graphics,1.17,0,36,4.497,2687000,0,0,5,324.1 x 215.7 x 17.1 mm,Xám,AMD,7730U,2.0,8.0,16.0,DDR4,3200 MHz,0,1,IPS,1920 x 1080 Pixels,IPS,Hãng không công bố,100% sRGB,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,Lithium polymer 3 viên,65 W,windows,19990000
msi,15.6,Core i5,16,512,NVIDA Geforce RTX 2050 4GB,1.98,600000,24,4.997,1619000,0,0,5,359.36 x 359.36 x 21.95~22.9 mm,Đen,Intel,12450H,2.0,8.0,12.0,DDR5,,2,0,IPS,FHD (1920 x 1080),IPS,144,45% NTSC,,,Backlit Chiclet Keyboard,Có,LED,,,windows,19390000
msi,14.0,Core i7,16,512,Intel UHD Graphics,1.4,3000000,24,4.872,1739000,0,1,5,319.9 * 223 * 19.35 mm,Đen,Intel,1355U,,10.0,12.0,DDR4,3200 MHz,Không,Có,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,Backlit Chiclet Keyboard,Không,LED,Lithium polymer,65 W,windows,18490000
lenovo,16.0,Core i5,16,1,Intel UHD Graphics,1.89,0,36,0.0,2352000,0,1,5,356 x 251 x 17.9 mm,Xám,Intel,12450H,2.0,8.0,12.0,DDR5,4800 MHz,0,2,Anti-Glare,1920 x 1200 Pixels,IPS,144,45% NTSC,LED,2,Backlit Chiclet Keyboard,Có,LED,,65 W,windows,17490000
msi,15.6,Core i7,16,512,Intel Iris Xe Graphics,1.7,2500000,24,0.0,1532000,0,0,0,359 * 241 * 19.9* mm,Đen,Intel,1255U,1.7,10.0,12.0,DDR4,3200 MHz,0,1,IPS,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,Chiclet Keyboard,Không,LED,Lithium polymer,65 W,windows,16990000
msi,14.0,Core i5,16,512,Intel Iris Xe Graphics,1.4,2200000,24,4.322,1466000,0,0,5,319.9 x 223 x 19.35 mm,Hồng,Intel,1335U,1.3,10.0,12.0,DDR4,3200 MHz,0,1,IPS,1920 x 1080 Pixels,IPS,60,,,2,"6-row, multimedia Fn keys",Không,LED,Lithium polymer,65 W,windows,16290000
msi,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.4,2200000,24,4.247,1426000,0,0,5,319.9 x 223 x 19.35 mm,Hồng,Intel,1335U,1.3,10.0,12.0,DDR4,3200 MHz,0,1,IPS,1920 x 1080 Pixels,IPS,60,,,2,"6-row, multimedia Fn keys",Không,Không,Lithium polymer,65 W,windows,15790000
msi,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.4,2200000,24,3.822,1426000,0,0,5,319.9 x 223 x 19.35 mm,Bạc,Intel,1335U,1.3,10.0,12.0,DDR4,3200 MHz,0,1,IPS,1920 x 1080 Pixels,IPS,60,,,2,"6-row, multimedia Fn keys",Không,LED,Lithium polymer,65 W,windows,15790000
asus,14.0,Core i3,8,512,Intel UHD Graphics,1.4,600000,24,0.0,1618000,0,0,0,32.49 x 21.39 x 1.79 ~ 1.79 cm,Xanh,Intel,1215U,1.2,,,DDR4,,0,1,FHD,FHD (1920 x 1080),IPS,60,45% NTSC,Màn hình phẳng,,Chiclet Keyboard,Không,Không,,45 W,windows,11390000
