branch,screen,CPU,RAM,memory,graphic card,weight,discount,warranty,fgold,installment,evaluation,answer,star,size,color,cpu_branch,cpu_type,cpu_speed,cpu_core,cpu_thread,ram_type,ram_speed,ram_track,ram_onboard,screen_tech,screen_resolution,screen_plate,screen_scan,screen_coverage,screen_type,speaker,keyboard_type,keyboard_number,keyboard_lamp,battery_type,battery_supply,os,price
lenovo,14.0,Core i5,16,512,Intel Iris Xe Graphics,1.46,1500000,36,5.122,1659000,0,14,5,312 x 221 x 16.9 mm,Xám,Intel,13500H,3.5,12.0,16.0,DDR5,5200 MHz,0,2,OLED,1920 x 1200 Pixels,OLED,60,100% DCI-P3,,,English International Backlit Keyboard,Không,Không,,65 W,windows,18990000
hp,15.6,Core i3,8,256,Intel UHD Graphics,1.7,3500000,12,2.302,951000000,39,105,5,35.85 x 24.2 x 1.79 cm,Bạc,Intel,1115G4,17.0,2.0,4.0,DDR4,3200 MHz,8,0,Anti-Glare,1920 x 1080 Pixels,IPS,60,,LED,,"6-row, multimedia Fn keys, numeric keypad",Có,Không,,,windows,9190000
hp,15.0,Core i5,8,512,Intel UHD Graphics,1.72,3400000,12,3.975,1562000,39,75,4,36.02 x 23.4 x 1.79 (W x D x H) cm,Bạc,Intel,1240P,1.7,,,DDR4,3200 MHz,2,0,IPS FHD,1920 x 1080 Pixels,IPS,60,,,,English International Backlit Keyboard,Có,Không,,,windows,16390000
hp,15.6,Core i7,16,512,Intel UHD Graphics,1.68,2000000,12,5.897,2045000,15,17,5,36.02 x 23.4 x 1.8 (W x D x H) cm,Bạc,Intel,1335U,3.7,,,DDR4,3200 MHz,2,0,LCD,FHD (1920 x 1080),IPS,Hãng không công bố,,,,English International Non-backlit Keyboard,Có,Không,,,windows,23290000
huawei,15.6,Ryzen 7,8,512,AMD Radeon Graphics,1.53,1200000,12,3.247,1136000,17,24,4,357.8 × 16.9× 229.9 mm,Bạc,AMD,5700U,1.8,8.0,16.0,DDR4,,0,1,IPS Truelife LED-Backlit Narrow,"1920 x 1080 Pixelss, 60Hz, Anti-Glare with 45% NTSC",IPS,60,45% NTSC,,2,English International Backlit Keyboard,Không,Không,,65 W,windows,12790000
hp,15.6,Core i3,8,256,Intel UHD Graphics,1.7,3500000,12,2.302,951000000,25,83,5,35.85 x 24.2 x 1.79 cm,Vàng,Intel,1115G4,17.0,2.0,4.0,DDR4,3200 MHz,8,0,Anti-Glare,1920 x 1080 Pixels,IPS,60,,LED,,"6-row, multimedia Fn keys, numeric keypad",Có,Không,,,windows,9190000
msi,14.0,Ryzen 5,8,512,AMD Radeon Graphics,1.4,1000000,24,2.747,1618000,0,22,0,319.9 x 223 x 19.35 mm,Đen,AMD,7530U,2.0,6.0,12.0,DDR4,3200 MHz,0,1,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,65 W,windows,10990000
acer,15.6,Ryzen 5,16,512,NVIDIA GeForce RTX 3050 4GB,2.1,2000000,12,4.497,1538000,15,56,5,36.34 x 25.45 x 2.29  (W x D x H) cm,Đen,AMD,5625U,2.3,6.0,12.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,144,,,,"6-row, multimedia Fn keys",Có,LED,,,windows,17490000
msi,15.6,Ryzen 7,8,512,AMD Radeon Graphics,1.4,2000000,24,2.9,1168000,30,44,4,359 * 241 * 19.9 mm,Đen,AMD,7730U,2.0,6.0,12.0,DDR4,3200 MHz,Không,Có,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,65 W,windows,12990000
hp,15.6,Core i7,16,512,Intel UHD Graphics,1.59,1600000,12,5.622,1820000,13,18,5,35.98 x 23.6 x 1.86 cm,Bạc,Intel,1355U,1.7,,,,,2,0,LCD,1920 x 1080 Pixels,SVA,60,,,,Chiclet Keyboard,Có,Không,,,windows,20890000
acer,15.6,Core i5,16,512,NVIDIA GeForce RTX 3050 4GB,2.1,2000000,12,5.247,1779000,0,0,5,36.23 x 23.74 x 1.99  (W x D x H) cm,Đen,Intel,12450H,3.3,8.0,12.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,144  Màn hình chính:,,,,"6-row, multimedia Fn keys",Có,LED,Lithium-ion 3 viên,,windows,19990000
acer,15.6,Core i5,8,512,NVIDIA GeForce GTX 1650 4GB,2.2,5000000,12,4.497,1739000,60,902,4,363.4 x 255 x 23.9 mm,Đen,Intel,11400H,2.7,6.0,12.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,144,45% NTSC,LED,2,Backlit Chiclet Keyboard,Có,LED,Lithium-ion,57.5 W,windows,17490000
